,tickerlist,invest_grades,timestamps,past_price,current_price
290,ASTE,,,,
291,ASUR,,,,
292,ASYS,,,,
293,ATAX,,,,
294,ATCX,,,,
295,ATCXW,,,,
296,ATEC,,,,
297,ATEX,,,,
298,ATHA,,,,
299,ATHE,,,,
300,ATHX,,,,
301,ATIF,,,,
302,ATLC,,,,
303,ATLO,,,,
304,ATNF,,,,
305,ATNFW,,,,
306,ATNI,,,,
307,ATNX,,,,
308,ATOM,,,,
309,ATOS,,,,
310,ATRA,,,,
311,ATRC,,,,
312,ATRI,,,,
313,ATRO,,,,
314,ATRS,,,,
315,ATSG,,,,
316,ATVI,,,,
317,ATXI,,,,
318,AUB,,,,
319,AUBAP,,,,
320,AUBN,,,,
321,AUDC,,,,
322,AUPH,,,,
323,AUTL,,,,
324,AUTO,,,,
325,AUVI,,,,
326,AVAV,,,,
327,AVCO,,,,
328,AVCT,,,,
329,AVCTW,,,,
330,AVDL,,,,
331,AVEO,,,,
332,AVGO,,,,
333,AVGOP,,,,
334,AVGR,,,,
335,AVID,,,,
336,AVIR,,,,
337,AVNW,,,,
338,AVO,,,,
339,AVRO,,,,
340,AVT,,,,
341,AVXL,,,,
342,AWH,,,,
343,AWRE,,,,
344,AXAS,,,,
345,AXDX,,,,
346,AXGN,,,,
347,AXLA,,,,
348,AXNX,,,,
349,AXSM,,,,
350,AXTI,,,,
351,AY,,,,
352,AYLA,,,,
353,AYRO,,,,
354,AYTU,,,,
355,AZN,,,,
356,AZPN,,,,
357,AZRX,,,,
358,AZYO,,,,
359,BAND,,,,
360,BANF,,,,
361,BANFP,,,,
362,BANR,,,,
363,BANX,,,,
364,BASI,,,,
365,BATRA,,,,
366,BATRK,,,,
367,BBBY,,,,
368,BBCP,,,,
369,BBGI,,,,
370,BBH,,,,
371,BBI,,,,
372,BBIG,,,,
373,BBIO,,,,
374,BBQ,,,,
375,BBSI,,,,
376,BCBP,,,,
377,BCDA,,,,
378,BCDAW,,,,
379,BCEL,,,,
380,BCLI,,,,
381,BCML,,,,
382,BCOR,,,,
383,BCOV,,,,
384,BCOW,,,,
385,BCPC,,,,
386,BCRX,,,,
387,BCTG,,,,
388,BCYC,,,,
389,BDGE,,,,
390,BDSI,,,,
391,BDSX,,,,
392,BDTX,,,,
393,BEAM,,,,
394,BEAT,,,,
395,BECN,,,,
396,BEEM,,,,
397,BEEMW,,,,
398,BELFA,,,,
399,BELFB,,,,
400,BFC,,,,
401,BFIN,,,,
402,BFIT,,,,
403,BFRA,,,,
404,BFST,,,,
405,BGCP,,,,
406,BGFV,,,,
407,BGNE,,,,
408,BGRN,,,,
409,BHAT,,,,
410,BHF,,,,
411,BHFAL,,,,
412,BHFAO,,,,
413,BHFAP,,,,
414,BHSEU,,,,
415,BHTG,,,,
416,BIB,,,,
417,BICK,,,,
418,BIDU,,,,
419,BIGC,,,,
420,BIIB,,,,
421,BILI,,,,
422,BIMI,,,,
423,BIOC,,,,
424,BIOL,,,,
425,BIS,,,,
426,BIVI,,,,
427,BJK,,,,
428,BJRI,,,,
429,BKCC,,,,
430,BKEP,,,,
431,BKEPP,,,,
432,BKNG,,,,
433,BKSC,,,,
434,BKYI,,,,
435,BL,,,,
436,BLBD,,,,
437,BLCM,,,,
438,BLCN,,,,
439,BLCT,,,,
440,BLDP,,,,
441,BLDR,,,,
442,BLFS,,,,
443,BLI,,,,
444,BLIN,,,,
445,BLKB,,,,
446,BLMN,,,,
447,BLNK,,,,
448,BLNKW,,,,
449,BLPH,,,,
450,BLRX,,,,
451,BLSA,,,,
452,BLU,,,,
453,BLUE,,,,
454,BMCH,,,,
455,BMLP,,,,
456,BMRA,,,,
457,BMRC,,,,
458,BMRN,,,,
459,BMTC,,,,
460,BND,,,,
461,BNDW,,,,
462,BNDX,,,,
463,BNFT,,,,
464,BNGO,,,,
465,BNGOW,,,,
466,BNR,,,,
467,BNSO,,,,
468,BNTC,,,,
469,BNTX,,,,
470,BOCH,,,,
471,BOKF,,,,
472,BOKFL,,,,
473,BOMN,,,,
474,BOOM,,,,
475,BOSC,,,,
476,BOTJ,,,,
477,BOTZ,,,,
478,BOWX,,,,
479,BOWXU,,,,
480,BOWXW,,,,
481,BOXL,,,,
482,BPFH,,,,
483,BPMC,,,,
484,BPOP,,,,
485,BPOPM,,,,
486,BPOPN,,,,
487,BPRN,,,,
488,BPTH,,,,
489,BPY,,,,
490,BPYPN,,,,
491,BPYPO,,,,
492,BPYPP,,,,
493,BPYU,,,,
494,BPYUP,,,,
495,BRID,,,,
496,BRKL,,,,
497,BRKR,,,,
498,BRKS,,,,
499,BRLI,,,,
500,BRLIR,,,,
501,BRLIU,,,,
502,BRLIW,,,,
503,BROG,,,,
504,BROGW,,,,
505,BRP,,,,
506,BRPA,,,,
507,BRPAR,,,,
508,BRPAU,,,,
509,BRPAW,,,,
510,BRQS,,,,
511,BRY,,,,
512,BSAE,,,,
513,BSBE,,,,
514,BSBK,,,,
515,BSCE,,,,
516,BSCK,,,,
517,BSCL,,,,
518,BSCM,,,,
519,BSCN,,,,
520,BSCO,,,,
521,BSCP,,,,
522,BSCQ,,,,
523,BSCR,,,,
524,BSCS,,,,
525,BSCT,,,,
526,BSCU,,,,
527,BSDE,,,,
528,BSET,,,,
529,BSGM,,,,
530,BSJK,,,,
531,BSJL,,,,
532,BSJM,,,,
533,BSJN,,,,
534,BSJO,,,,
535,BSJP,,,,
536,BSJQ,,,,
537,BSJR,,,,
538,BSJS,,,,
539,BSML,,,,
540,BSMM,,,,
541,BSMN,,,,
542,BSMO,,,,
543,BSMP,,,,
544,BSMQ,,,,
545,BSMR,,,,
546,BSMS,,,,
547,BSMT,,,,
548,BSMU,,,,
549,BSQR,,,,
550,BSRR,,,,
551,BSTC,,,,
552,BSVN,,,,
553,BSY,,,,
554,BTAI,,,,
555,BTAQ,,,,
556,BTAQU,,,,
557,BTAQW,,,,
558,BTBT,,,,
559,BTEC,,,,
560,BTWNU,,,,
561,BUG,,,,
562,BUSE,,,,
563,BVXV,,,,
564,BWACU,,,,
565,BWAY,,,,
566,BWB,,,,
567,BWEN,,,,
568,BWFG,,,,
569,BWMX,,,,
570,BXRX,,,,
571,BYFC,,,,
572,BYND,,,,
573,BYSI,,,,
574,BZUN,,,,
575,CAAS,,,,
576,CABA,,,,
577,CAC,,,,
578,CACC,,,,
579,CACG,,,,
580,CAKE,,,,
581,CALA,,,,
582,CALB,,,,
583,CALM,,,,
584,CALT,,,,
585,CAMP,,,,
586,CAMT,,,,
587,CAN,,,,
588,CAPA,,,,
589,CAPAU,,,,
590,CAPAW,,,,
591,CAPR,,,,
592,CAR,,,,
593,CARA,,,,
594,CARE,,,,
595,CARG,,,,
596,CARV,,,,
597,CARZ,,,,
598,CASA,,,,
599,CASH,,,,
600,CASI,,,,
601,CASS,,,,
602,CASY,,,,
603,CATB,,,,
604,CATC,,,,
605,CATH,,,,
606,CATM,,,,
607,CATY,,,,
