,tickerlist,invest_grades,timestamps,past_price,current_price
1250,FEIM,,,,
1251,FELE,,,,
1252,FEM,,,,
1253,FEMB,,,,
1254,FEMS,,,,
1255,FENC,,,,
1256,FEP,,,,
1257,FEUZ,,,,
1258,FEX,,,,
1259,FEYE,,,,
1260,FFBC,,,,
1261,FFBW,,,,
1262,FFHL,,,,
1263,FFIC,,,,
1264,FFIN,,,,
1265,FFIV,,,,
1266,FFNW,,,,
1267,FFWM,,,,
1268,FGBI,,,,
1269,FGEN,,,,
1270,FGM,,,,
1271,FHB,,,,
1272,FHTX,,,,
1273,FIBK,,,,
1274,FID,,,,
1275,FIII,,,,
1276,FIIIU,,,,
1277,FIIIW,,,,
1278,FINX,,,,
1279,FISI,,,,
1280,FISV,,,,
1281,FITB,,,,
1282,FITBI,,,,
1283,FITBO,,,,
1284,FITBP,,,,
1285,FIVE,,,,
1286,FIVN,,,,
1287,FIXD,,,,
1288,FIXX,,,,
1289,FIZZ,,,,
1290,FJP,,,,
1291,FKU,,,,
1292,FLDM,,,,
1293,FLEX,,,,
1294,FLGT,,,,
1295,FLIC,,,,
1296,FLIR,,,,
1297,FLL,,,,
1298,FLMN,,,,
1299,FLMNW,,,,
1300,FLN,,,,
1301,FLNT,,,,
1302,FLUX,,,,
1303,FLWS,,,,
1304,FLXN,,,,
1305,FLXS,,,,
1306,FMAO,,,,
1307,FMB,,,,
1308,FMBH,,,,
1309,FMBI,,,,
1310,FMBIO,,,,
1311,FMBIP,,,,
1312,FMHI,,,,
1313,FMK,,,,
1314,FMNB,,,,
1315,FMTX,,,,
1316,FNCB,,,,
1317,FNHC,,,,
1318,FNK,,,,
1319,FNKO,,,,
1320,FNLC,,,,
1321,FNWB,,,,
1322,FNX,,,,
1323,FNY,,,,
1324,FOCS,,,,
1325,FOLD,,,,
1326,FONR,,,,
1327,FORD,,,,
1328,FORK,,,,
1329,FORM,,,,
1330,FORR,,,,
1331,FORTY,,,,
1332,FOSL,,,,
1333,FOX,,,,
1334,FOXA,,,,
1335,FOXF,,,,
1336,FPA,,,,
1337,FPAY,,,,
1338,FPRX,,,,
1339,FPXE,,,,
1340,FPXI,,,,
1341,FRAF,,,,
1342,FRAN,,,,
1343,FRBA,,,,
1344,FRBK,,,,
1345,FREE,,,,
1346,FREEW,,,,
1347,FREQ,,,,
1348,FRG,,,,
1349,FRGAP,,,,
1350,FRGI,,,,
1351,FRHC,,,,
1352,FRLN,,,,
1353,FRME,,,,
1354,FROG,,,,
1355,FRPH,,,,
1356,FRPT,,,,
1357,FRSX,,,,
1358,FRTA,,,,
1359,FSBW,,,,
1360,FSDC,,,,
1361,FSEA,,,,
1362,FSFG,,,,
1363,FSLR,,,,
1364,FSRV,,,,
1365,FSRVU,,,,
1366,FSRVW,,,,
1367,FSTR,,,,
1368,FSV,,,,
1369,FSZ,,,,
1370,FTA,,,,
1371,FTAG,,,,
1372,FTC,,,,
1373,FTCS,,,,
1374,FTDR,,,,
1375,FTEK,,,,
1376,FTFT,,,,
1377,FTGC,,,,
1378,FTHI,,,,
1379,FTHM,,,,
1380,FTIV,,,,
1381,FTIVU,,,,
1382,FTIVW,,,,
1383,FTLB,,,,
1384,FTNT,,,,
1385,FTOC,,,,
1386,FTOCU,,,,
1387,FTOCW,,,,
1388,FTRI,,,,
1389,FTSL,,,,
1390,FTSM,,,,
1391,FTXD,,,,
1392,FTXG,,,,
1393,FTXH,,,,
1394,FTXL,,,,
1395,FTXN,,,,
1396,FTXO,,,,
1397,FTXR,,,,
1398,FULC,,,,
1399,FULT,,,,
1400,FULTP,,,,
1401,FUNC,,,,
1402,FUND,,,,
1403,FUSB,,,,
1404,FUSN,,,,
1405,FUTU,,,,
1406,FUV,,,,
1407,FV,,,,
1408,FVAM,,,,
1409,FVC,,,,
1410,FVCB,,,,
1411,FVE,,,,
1412,FWONA,,,,
1413,FWONK,,,,
1414,FWP,,,,
1415,FWRD,,,,
1416,FXNC,,,,
1417,FYC,,,,
1418,FYT,,,,
1419,FYX,,,,
1420,GABC,,,,
1421,GAIA,,,,
1422,GAIN,,,,
1423,GAINL,,,,
1424,GAINM,,,,
1425,GALT,,,,
1426,GAN,,,,
1427,GASS,,,,
1428,GBCI,,,,
1429,GBDC,,,,
1430,GBIO,,,,
1431,GBLI,,,,
1432,GBLIL,,,,
1433,GBT,,,,
1434,GCBC,,,,
1435,GCMG,,,,
1436,GCMGW,,,,
1437,GDEN,,,,
1438,GDRX,,,,
1439,GDS,,,,
1440,GDYN,,,,
1441,GDYNW,,,,
1442,GEC,,,,
1443,GECC,,,,
1444,GECCL,,,,
1445,GECCM,,,,
1446,GECCN,,,,
1447,GENC,,,,
1448,GENE,,,,
1449,GENY,,,,
1450,GEOS,,,,
1451,GERN,,,,
1452,GEVO,,,,
1453,GFED,,,,
1454,GFN,,,,
1455,GFNCP,,,,
1456,GFNSL,,,,
1457,GFNSZ,,,,
1458,GGAL,,,,
1459,GH,,,,
1460,GHIV,,,,
1461,GHIVU,,,,
1462,GHIVW,,,,
1463,GHSI,,,,
1464,GIFI,,,,
1465,GIGE,,,,
1466,GIGM,,,,
1467,GIII,,,,
1468,GILD,,,,
1469,GILT,,,,
1470,GLAD,,,,
1471,GLADD,,,,
1472,GLADL,,,,
1473,GLBS,,,,
1474,GLBZ,,,,
1475,GLDD,,,,
1476,GLDI,,,,
1477,GLG,,,,
1478,GLIBA,,,,
1479,GLIBP,,,,
1480,GLMD,,,,
1481,GLNG,,,,
1482,GLPG,,,,
1483,GLPI,,,,
1484,GLRE,,,,
1485,GLSI,,,,
1486,GLTO,,,,
1487,GLUU,,,,
1488,GLYC,,,,
1489,GMAB,,,,
1490,GMBL,,,,
1491,GMBLW,,,,
1492,GMDA,,,,
1493,GMHI,,,,
1494,GMHIU,,,,
1495,GMHIW,,,,
1496,GMLP,,,,
1497,GMLPP,,,,
1498,GNCA,,,,
1499,GNFT,,,,
1500,GNLN,,,,
1501,GNMA,,,,
1502,GNMK,,,,
1503,GNOM,,,,
1504,GNPX,,,,
1505,GNRS,,,,
1506,GNRSU,,,,
1507,GNRSW,,,,
1508,GNSS,,,,
1509,GNTX,,,,
1510,GNTY,,,,
1511,GNUS,,,,
1512,GO,,,,
1513,GOCO,,,,
1514,GOGL,,,,
1515,GOGO,,,,
1516,GOOD,,,,
1517,GOODM,,,,
1518,GOODN,,,,
1519,GOOG,,,,
1520,GOOGL,,,,
1521,GOSS,,,,
1522,GOVX,,,,
1523,GOVXW,,,,
1524,GP,,,,
1525,GPOR,,,,
1526,GPP,,,,
1527,GPRE,,,,
1528,GPRO,,,,
1529,GRAY,,,,
1530,GRBK,,,,
1531,GRCY,,,,
1532,GRCYU,,,,
1533,GRCYW,,,,
1534,GRFS,,,,
1535,GRID,,,,
1536,GRIF,,,,
1537,GRIL,,,,
1538,GRIN,,,,
1539,GRMN,,,,
1540,GRNQ,,,,
1541,GRNV,,,,
1542,GRNVR,,,,
1543,GRNVU,,,,
1544,GRNVW,,,,
1545,GROW,,,,
1546,GRPN,,,,
1547,GRSV,,,,
1548,GRSVU,,,,
1549,GRSVW,,,,
1550,GRTS,,,,
1551,GRTX,,,,
1552,GRVY,,,,
1553,GRWG,,,,
1554,GSBC,,,,
1555,GSHD,,,,
1556,GSIT,,,,
1557,GSKY,,,,
1558,GSM,,,,
1559,GSMG,,,,
1560,GSMGW,,,,
1561,GSUM,,,,
1562,GT,,,,
1563,GTEC,,,,
1564,GTH,,,,
1565,GTHX,,,,
1566,GTIM,,,,
1567,GTLS,,,,
1568,GTYH,,,,
1569,GURE,,,,
1570,GVP,,,,
1571,GWACU,,,,
1572,GWGH,,,,
1573,GWPH,,,,
1574,GWRS,,,,
1575,GXGX,,,,
1576,GXGXU,,,,
1577,GXGXW,,,,
1578,GXTG,,,,
1579,GYRO,,,,
1580,HA,,,,
1581,HAACU,,,,
1582,HAFC,,,,
1583,HAIN,,,,
1584,HALL,,,,
1585,HALO,,,,
1586,HAPP,,,,
1587,HARP,,,,
1588,HAS,,,,
1589,HAYN,,,,
1590,HBAN,,,,
1591,HBANN,,,,
1592,HBANO,,,,
1593,HBCP,,,,
1594,HBIO,,,,
1595,HBMD,,,,
1596,HBNC,,,,
1597,HBP,,,,
1598,HBT,,,,
1599,HCAC,,,,
1600,HCACU,,,,
1601,HCACW,,,,
1602,HCAP,,,,
1603,HCAPZ,,,,
1604,HCAT,,,,
1605,HCCH,,,,
1606,HCCHR,,,,
1607,HCCHU,,,,
1608,HCCHW,,,,
1609,HCCI,,,,
1610,HCDI,,,,
1611,HCKT,,,,
1612,HCM,,,,
1613,HCSG,,,,
1614,HDS,,,,
1615,HDSN,,,,
1616,HEAR,,,,
1617,HEC,,,,
1618,HECCU,,,,
1619,HECCW,,,,
1620,HEES,,,,
1621,HELE,,,,
1622,HEPA,,,,
1623,HERD,,,,
1624,HERO,,,,
1625,HEWG,,,,
1626,HFBL,,,,
1627,HFFG,,,,
1628,HFWA,,,,
1629,HGBL,,,,
1630,HGEN,,,,
1631,HGSH,,,,
1632,HHR,,,,
1633,HIBB,,,,
1634,HIFS,,,,
1635,HIHO,,,,
1636,HIMX,,,,
1637,HJLI,,,,
1638,HJLIW,,,,
1639,HLAL,,,,
1640,HLG,,,,
1641,HLIO,,,,
1642,HLIT,,,,
1643,HLNE,,,,
1644,HLXA,,,,
1645,HMHC,,,,
1646,HMNF,,,,
1647,HMST,,,,
1648,HMSY,,,,
1649,HMTV,,,,
1650,HNDL,,,,
1651,HNNA,,,,
1652,HNRG,,,,
1653,HOFT,,,,
1654,HOFV,,,,
1655,HOFVW,,,,
1656,HOL,,,,
1657,HOLI,,,,
1658,HOLUU,,,,
1659,HOLUW,,,,
1660,HOLX,,,,
1661,HOMB,,,,
1662,HONE,,,,
1663,HOOK,,,,
1664,HOPE,,,,
1665,HOTH,,,,
1666,HOVNP,,,,
1667,HPK,,,,
1668,HPKEW,,,,
1669,HQI,,,,
1670,HQY,,,,
1671,HRMY,,,,
1672,HROW,,,,
1673,HRTX,,,,
1674,HRZN,,,,
1675,HSAQ,,,,
1676,HSDT,,,,
1677,HSIC,,,,
1678,HSII,,,,
1679,HSKA,,,,
1680,HSON,,,,
1681,HST,,,,
1682,HSTM,,,,
1683,HSTO,,,,
1684,HTBI,,,,
1685,HTBK,,,,
1686,HTBX,,,,
1687,HTGM,,,,
1688,HTHT,,,,
1689,HTIA,,,,
1690,HTLD,,,,
1691,HTLF,,,,
1692,HTLFP,,,,
1693,HUBG,,,,
1694,HUGE,,,,
1695,HUIZ,,,,
1696,HURC,,,,
1697,HURN,,,,
1698,HUSN,,,,
1699,HVBC,,,,
1700,HWBK,,,,
1701,HWC,,,,
1702,HWCC,,,,
1703,HWCPL,,,,
1704,HWCPZ,,,,
1705,HWKN,,,,
1706,HX,,,,
1707,HYAC,,,,
1708,HYACU,,,,
1709,HYACW,,,,
1710,HYLS,,,,
1711,HYMC,,,,
1712,HYMCW,,,,
1713,HYMCZ,,,,
1714,HYRE,,,,
1715,HYXF,,,,
1716,HYZD,,,,
1717,HZNP,,,,
1718,IAC,,,,
1719,IART,,,,
1720,IBB,,,,
1721,IBBJ,,,,
1722,IBCP,,,,
1723,IBEX,,,,
1724,IBKR,,,,
1725,IBOC,,,,
1726,IBTA,,,,
1727,IBTB,,,,
1728,IBTD,,,,
1729,IBTE,,,,
1730,IBTF,,,,
1731,IBTG,,,,
1732,IBTH,,,,
1733,IBTI,,,,
1734,IBTJ,,,,
1735,IBTK,,,,
1736,IBTX,,,,
1737,ICAD,,,,
1738,ICBK,,,,
1739,ICCC,,,,
1740,ICCH,,,,
1741,ICFI,,,,
1742,ICHR,,,,
1743,ICLK,,,,
1744,ICLN,,,,
1745,ICLR,,,,
1746,ICMB,,,,
1747,ICON,,,,
1748,ICPT,,,,
1749,ICUI,,,,
1750,IDCC,,,,
1751,IDEX,,,,
1752,IDLB,,,,
1753,IDN,,,,
1754,IDRA,,,,
1755,IDXG,,,,
1756,IDXX,,,,
1757,IDYA,,,,
1758,IEA,,,,
1759,IEAWW,,,,
1760,IEC,,,,
1761,IEF,,,,
1762,IEI,,,,
1763,IEP,,,,
1764,IESC,,,,
1765,IEUS,,,,
1766,IFGL,,,,
1767,IFMK,,,,
1768,IFRX,,,,
1769,IFV,,,,
1770,IGACU,,,,
1771,IGF,,,,
1772,IGIB,,,,
1773,IGIC,,,,
1774,IGICW,,,,
1775,IGMS,,,,
1776,IGOV,,,,
1777,IGSB,,,,
1778,IHRT,,,,
1779,III,,,,
1780,IIIN,,,,
1781,IIIV,,,,
1782,IIN,,,,
1783,IIVI,,,,
1784,IIVIP,,,,
1785,IJT,,,,
1786,IKNX,,,,
1787,ILMN,,,,
1788,ILPT,,,,
1789,IMAB,,,,
1790,IMAC,,,,
1791,IMACW,,,,
1792,IMBI,,,,
1793,IMGN,,,,
1794,IMKTA,,,,
1795,IMMP,,,,
1796,IMMR,,,,
1797,IMNM,,,,
1798,IMOS,,,,
1799,IMRA,,,,
1800,IMRN,,,,
1801,IMRNW,,,,
1802,IMTE,,,,
1803,IMTX,,,,
1804,IMTXW,,,,
1805,IMUX,,,,
1806,IMV,,,,
1807,IMVT,,,,
1808,IMXI,,,,
1809,INAQ,,,,
1810,INAQU,,,,
1811,INAQW,,,,
1812,INBK,,,,
1813,INBKL,,,,
1814,INBKZ,,,,
1815,INBX,,,,
1816,INCY,,,,
1817,INDB,,,,
1818,INDY,,,,
1819,INFI,,,,
1820,INFN,,,,
1821,INFR,,,,
1822,INGN,,,,
1823,INM,,,,
1824,INMB,,,,
1825,INMD,,,,
1826,INO,,,,
1827,INOD,,,,
1828,INOV,,,,
1829,INPX,,,,
1830,INSE,,,,
1831,INSG,,,,
1832,INSM,,,,
1833,INTC,,,,
1834,INTG,,,,
1835,INTU,,,,
1836,INTZ,,,,
1837,INVA,,,,
1838,INVE,,,,
1839,INVO,,,,
1840,INZY,,,,
1841,IONS,,,,
1842,IOSP,,,,
1843,IOVA,,,,
1844,IPAR,,,,
1845,IPDN,,,,
1846,IPGP,,,,
1847,IPHA,,,,
1848,IPHI,,,,
1849,IPKW,,,,
1850,IPLDP,,,,
1851,IPWR,,,,
1852,IQ,,,,
1853,IRBT,,,,
1854,IRCP,,,,
1855,IRDM,,,,
1856,IRIX,,,,
1857,IRMD,,,,
1858,IROQ,,,,
1859,IRTC,,,,
1860,IRWD,,,,
1861,ISBC,,,,
1862,ISDX,,,,
1863,ISEE,,,,
1864,ISEM,,,,
1865,ISHG,,,,
1866,ISIG,,,,
1867,ISNS,,,,
1868,ISRG,,,,
1869,ISSC,,,,
1870,ISTB,,,,
1871,ISTR,,,,
1872,ITAC,,,,
1873,ITACU,,,,
1874,ITACW,,,,
1875,ITCI,,,,
1876,ITI,,,,
1877,ITIC,,,,
1878,ITMR,,,,
1879,ITOS,,,,
1880,ITRI,,,,
1881,ITRM,,,,
1882,ITRN,,,,
1883,IUS,,,,
1884,IUSB,,,,
1885,IUSG,,,,
1886,IUSS,,,,
1887,IUSV,,,,
1888,IVA,,,,
1889,IVAC,,,,
1890,IXUS,,,,
1891,IZEA,,,,
1892,JACK,,,,
1893,JAGX,,,,
1894,JAKK,,,,
1895,JAMF,,,,
1896,JAN,,,,
1897,JAZZ,,,,
1898,JBHT,,,,
1899,JBLU,,,,
1900,JBSS,,,,
1901,JCOM,,,,
1902,JCS,,,,
1903,JCTCF,,,,
1904,JD,,,,
1905,JFIN,,,,
1906,JFU,,,,
1907,JG,,,,
1908,JJSF,,,,
1909,JKHY,,,,
1910,JKI,,,,
1911,JMPNL,,,,
1912,JMPNZ,,,,
1913,JNCE,,,,
1914,JOBS,,,,
1915,JOET,,,,
1916,JOUT,,,,
1917,JRJC,,,,
1918,JRSH,,,,
1919,JRVR,,,,
1920,JSM,,,,
1921,JSMD,,,,
1922,JSML,,,,
1923,JUPW,,,,
1924,JUPWW,,,,
1925,JVA,,,,
1926,JYNT,,,,
1927,KALA,,,,
1928,KALU,,,,
1929,KALV,,,,
1930,KBAL,,,,
1931,KBNT,,,,
1932,KBNTW,,,,
1933,KBSF,,,,
1934,KBWB,,,,
1935,KBWD,,,,
1936,KBWP,,,,
1937,KBWR,,,,
1938,KBWY,,,,
1939,KC,,,,
1940,KCAPL,,,,
1941,KDMN,,,,
1942,KDNY,,,,
1943,KDP,,,,
1944,KE,,,,
1945,KELYA,,,,
1946,KELYB,,,,
1947,KEQU,,,,
1948,KERN,,,,
1949,KERNW,,,,
1950,KFFB,,,,
1951,KFRC,,,,
1952,KHC,,,,
1953,KIDS,,,,
1954,KIN,,,,
1955,KINS,,,,
1956,KIRK,,,,
1957,KLAC,,,,
1958,KLDO,,,,
1959,KLIC,,,,
1960,KLXE,,,,
1961,KMDA,,,,
1962,KNDI,,,,
1963,KNSA,,,,
1964,KNSL,,,,
1965,KOD,,,,
1966,KOPN,,,,
1967,KOR,,,,
1968,KOSS,,,,
1969,KPTI,,,,
1970,KRBP,,,,
1971,KRKR,,,,
1972,KRMA,,,,
1973,KRMD,,,,
1974,KRNT,,,,
1975,KRNY,,,,
1976,KRON,,,,
1977,KROS,,,,
1978,KRTX,,,,
1979,KRUS,,,,
1980,KRYS,,,,
1981,KSMT,,,,
1982,KSMTU,,,,
1983,KSMTW,,,,
1984,KSPN,,,,
1985,KTCC,,,,
1986,KTOS,,,,
1987,KTOV,,,,
1988,KTOVW,,,,
1989,KTRA,,,,
1990,KURA,,,,
1991,KVHI,,,,
1992,KXIN,,,,
1993,KYMR,,,,
1994,KZIA,,,,
1995,KZR,,,,
1996,LACQ,,,,
1997,LACQU,,,,
1998,LACQW,,,,
1999,LAKE,,,,
2000,LAMR,,,,
2001,LANC,,,,
2002,LAND,,,,
2003,LANDO,,,,
2004,LANDP,,,,
2005,LARK,,,,
2006,LASR,,,,
2007,LATN,,,,
2008,LATNU,,,,
2009,LATNW,,,,
2010,LAUR,,,,
2011,LAWS,,,,
2012,LAZY,,,,
2013,LBAI,,,,
2014,LBC,,,,
2015,LBRDA,,,,
2016,LBRDK,,,,
2017,LBTYA,,,,
2018,LBTYB,,,,
2019,LBTYK,,,,
2020,LCA,,,,
2021,LCAHU,,,,
2022,LCAHW,,,,
2023,LCAP,,,,
2024,LCAPU,,,,
2025,LCAPW,,,,
2026,LCNB,,,,
2027,LCUT,,,,
2028,LCYAU,,,,
2029,LDEM,,,,
2030,LDSF,,,,
2031,LE,,,,
2032,LECO,,,,
2033,LEDS,,,,
2034,LEGH,,,,
2035,LEGN,,,,
2036,LEGR,,,,
2037,LESL,,,,
2038,LEVL,,,,
2039,LEVLP,,,,
2040,LFAC,,,,
2041,LFACU,,,,
2042,LFACW,,,,
2043,LFTRU,,,,
2044,LFUS,,,,
2045,LFVN,,,,
2046,LGHL,,,,
2047,LGHLW,,,,
2048,LGIH,,,,
2049,LGND,,,,
2050,LHCG,,,,
2051,LI,,,,
2052,LIFE,,,,
2053,LILA,,,,
2054,LILAK,,,,
2055,LINC,,,,
2056,LIND,,,,
2057,LIQT,,,,
2058,LITE,,,,
2059,LIVE,,,,
2060,LIVK,,,,
2061,LIVKU,,,,
2062,LIVKW,,,,
2063,LIVN,,,,
2064,LIVX,,,,
2065,LIZI,,,,
2066,LJPC,,,,
2067,LKCO,,,,
2068,LKFN,,,,
2069,LKQ,,,,
2070,LLIT,,,,
2071,LLNW,,,,
2072,LMAT,,,,
2073,LMB,,,,
2074,LMBS,,,,
2075,LMFA,,,,
2076,LMNL,,,,
2077,LMNR,,,,
2078,LMNX,,,,
2079,LMPX,,,,
2080,LMRK,,,,
2081,LMRKN,,,,
2082,LMRKO,,,,
2083,LMRKP,,,,
2084,LMST,,,,
2085,LNDC,,,,
2086,LNGR,,,,
2087,LNSR,,,,
2088,LNT,,,,
2089,LNTH,,,,
2090,LOAC,,,,
2091,LOACR,,,,
2092,LOACU,,,,
2093,LOACW,,,,
2094,LOAN,,,,
2095,LOB,,,,
2096,LOCO,,,,
2097,LOGC,,,,
2098,LOGI,,,,
2099,LOOP,,,,
2100,LOPE,,,,
2101,LORL,,,,
2102,LOVE,,,,
2103,LPCN,,,,
2104,LPLA,,,,
2105,LPRO,,,,
2106,LPSN,,,,
2107,LPTH,,,,
2108,LPTX,,,,
2109,LQDA,,,,
2110,LQDT,,,,
2111,LRCX,,,,
2112,LRGE,,,,
2113,LRMR,,,,
2114,LSAC,,,,
2115,LSACU,,,,
2116,LSACW,,,,
2117,LSBK,,,,
2118,LSCC,,,,
2119,LSTR,,,,
2120,LSXMA,,,,
2121,LSXMB,,,,
2122,LSXMK,,,,
2123,LTBR,,,,
2124,LTRN,,,,
2125,LTRPA,,,,
2126,LTRPB,,,,
2127,LTRX,,,,
2128,LULU,,,,
2129,LUMO,,,,
2130,LUNA,,,,
2131,LUNG,,,,
2132,LUXAU,,,,
2133,LVHD,,,,
2134,LWAY,,,,
2135,LX,,,,
2136,LXEH,,,,
2137,LXRX,,,,
2138,LYFT,,,,
2139,LYL,,,,
2140,LYRA,,,,
2141,LYTS,,,,
2142,MAACU,,,,
2143,MACK,,,,
2144,MACUU,,,,
2145,MAGS,,,,
2146,MANH,,,,
2147,MANT,,,,
2148,MAR,,,,
2149,MARA,,,,
2150,MARK,,,,
2151,MARPS,,,,
2152,MASI,,,,
2153,MAT,,,,
2154,MATW,,,,
2155,MAXN,,,,
2156,MAYS,,,,
2157,MBB,,,,
2158,MBCN,,,,
2159,MBII,,,,
2160,MBIN,,,,
2161,MBINO,,,,
2162,MBINP,,,,
2163,MBIO,,,,
2164,MBNKP,,,,
2165,MBOT,,,,
2166,MBRX,,,,
2167,MBUU,,,,
2168,MBWM,,,,
2169,MCAC,,,,
2170,MCACR,,,,
2171,MCACU,,,,
2172,MCBC,,,,
2173,MCBS,,,,
2174,MCEF,,,,
2175,MCEP,,,,
2176,MCFE,,,,
2177,MCFT,,,,
2178,MCHI,,,,
2179,MCHP,,,,
2180,MCHX,,,,
2181,MCMJ,,,,
2182,MCMJW,,,,
2183,MCRB,,,,
2184,MCRI,,,,
2185,MDB,,,,
2186,MDCA,,,,
2187,MDGL,,,,
2188,MDGS,,,,
2189,MDGSW,,,,
2190,MDIA,,,,
2191,MDIV,,,,
2192,MDJH,,,,
2193,MDLZ,,,,
2194,MDNA,,,,
2195,MDRR,,,,
2196,MDRRP,,,,
2197,MDRX,,,,
2198,MDVL,,,,
2199,MDWD,,,,
2200,MDXG,,,,
2201,MEDP,,,,
2202,MEDS,,,,
2203,MEIP,,,,
2204,MELI,,,,
2205,MEOH,,,,
2206,MERC,,,,
2207,MESA,,,,
2208,MESO,,,,
2209,METC,,,,
2210,METX,,,,
2211,METXW,,,,
2212,MFH,,,,
2213,MFIN,,,,
2214,MFINL,,,,
2215,MFNC,,,,
2216,MGEE,,,,
2217,MGEN,,,,
2218,MGI,,,,
2219,MGIC,,,,
2220,MGLN,,,,
2221,MGNI,,,,
2222,MGNX,,,,
2223,MGPI,,,,
2224,MGRC,,,,
2225,MGTA,,,,
2226,MGTX,,,,
2227,MGYR,,,,
2228,MHLD,,,,
2229,MICT,,,,
2230,MIDD,,,,
2231,MIK,,,,
2232,MILN,,,,
2233,MIME,,,,
2234,MIND,,,,
2235,MINDP,,,,
2236,MIRM,,,,
2237,MIST,,,,
2238,MITK,,,,
2239,MITO,,,,
2240,MKD,,,,
2241,MKGI,,,,
2242,MKSI,,,,
2243,MKTX,,,,
2244,MLAB,,,,
2245,MLAC,,,,
2246,MLACU,,,,
2247,MLACW,,,,
2248,MLCO,,,,
2249,MLHR,,,,
2250,MLND,,,,
2251,MLVF,,,,
2252,MMAC,,,,
2253,MMLP,,,,
2254,MMSI,,,,
2255,MMYT,,,,
2256,MNCL,,,,
2257,MNCLU,,,,
2258,MNCLW,,,,
2259,MNDO,,,,
2260,MNKD,,,,
2261,MNOV,,,,
2262,MNPR,,,,
2263,MNRO,,,,
2264,MNSB,,,,
2265,MNSBP,,,,
2266,MNST,,,,
2267,MNTX,,,,
2268,MOBL,,,,
2269,MOFG,,,,
2270,MOGO,,,,
2271,MOHO,,,,
2272,MOMO,,,,
2273,MOR,,,,
2274,MORF,,,,
2275,MORN,,,,
2276,MOSY,,,,
2277,MOTNU,,,,
2278,MOTS,,,,
2279,MOXC,,,,
2280,MPAA,,,,
2281,MPB,,,,
2282,MPWR,,,,
2283,MRAM,,,,
2284,MRBK,,,,
2285,MRCC,,,,
2286,MRCCL,,,,
2287,MRCY,,,,
2288,MREO,,,,
2289,MRIN,,,,
2290,MRKR,,,,
2291,MRLN,,,,
2292,MRNA,,,,
2293,MRNS,,,,
2294,MRSN,,,,
2295,MRTN,,,,
2296,MRTX,,,,
2297,MRUS,,,,
2298,MRVL,,,,
2299,MSBI,,,,
2300,MSEX,,,,
2301,MSFT,,,,
2302,MSON,,,,
2303,MSTR,,,,
2304,MSVB,,,,
2305,MTBC,,,,
2306,MTBCP,,,,
2307,MTC,,,,
2308,MTCH,,,,
2309,MTCR,,,,
2310,MTEM,,,,
2311,MTEX,,,,
2312,MTLS,,,,
2313,MTP,,,,
2314,MTRX,,,,
2315,MTSC,,,,
2316,MTSI,,,,
2317,MTSL,,,,
2318,MU,,,,
2319,MVBF,,,,
2320,MVIS,,,,
2321,MWK,,,,
2322,MXIM,,,,
2323,MYFW,,,,
2324,MYGN,,,,
2325,MYRG,,,,
2326,MYSZ,,,,
2327,MYT,,,,
2328,NAII,,,,
2329,NAKD,,,,
2330,NAOV,,,,
2331,NARI,,,,
2332,NATH,,,,
2333,NATI,,,,
2334,NATR,,,,
2335,NAVI,,,,
2336,NBAC,,,,
2337,NBACR,,,,
2338,NBACU,,,,
2339,NBACW,,,,
2340,NBEV,,,,
2341,NBIX,,,,
2342,NBLX,,,,
2343,NBN,,,,
2344,NBRV,,,,
2345,NBSE,,,,
2346,NBTB,,,,
2347,NCBS,,,,
2348,NCMI,,,,
2349,NCNA,,,,
2350,NCNO,,,,
2351,NCSM,,,,
2352,NCTY,,,,
2353,NDAQ,,,,
2354,NDLS,,,,
2355,NDRA,,,,
2356,NDRAW,,,,
2357,NDSN,,,,
2358,NEO,,,,
2359,NEOG,,,,
2360,NEON,,,,
2361,NEOS,,,,
2362,NEPH,,,,
2363,NEPT,,,,
2364,NERV,,,,
2365,NESR,,,,
2366,NESRW,,,,
2367,NETE,,,,
2368,NEWA,,,,
2369,NEWT,,,,
2370,NEWTI,,,,
2371,NEWTL,,,,
2372,NEXT,,,,
2373,NFBK,,,,
2374,NFE,,,,
2375,NFLX,,,,
2376,NFTY,,,,
2377,NGACU,,,,
2378,NGHC,,,,
2379,NGHCN,,,,
2380,NGHCO,,,,
2381,NGHCP,,,,
2382,NGHCZ,,,,
2383,NGM,,,,
2384,NH,,,,
2385,NHIC,,,,
2386,NHICU,,,,
2387,NHICW,,,,
2388,NHLD,,,,
2389,NHLDW,,,,
2390,NHTC,,,,
2391,NICE,,,,
2392,NICK,,,,
2393,NISN,,,,
2394,NIU,,,,
2395,NK,,,,
2396,NKLA,,,,
2397,NKSH,,,,
2398,NKTR,,,,
2399,NKTX,,,,
2400,NLOK,,,,
2401,NLTX,,,,
2402,NMCI,,,,
2403,NMFC,,,,
2404,NMFCL,,,,
2405,NMIH,,,,
2406,NMMC,,,,
2407,NMMCU,,,,
2408,NMMCW,,,,
2409,NMRD,,,,
2410,NMRK,,,,
2411,NMTR,,,,
2412,NNBR,,,,
2413,NNDM,,,,
2414,NNOX,,,,
2415,NOACU,,,,
2416,NODK,,,,
2417,NOVN,,,,
2418,NOVS,,,,
2419,NOVSU,,,,
2420,NOVSW,,,,
2421,NOVT,,,,
2422,NPA,,,,
2423,NPAUU,,,,
2424,NPAWW,,,,
2425,NRBO,,,,
2426,NRC,,,,
